Name,Brand,Release,Version
BlackBerry Priv,BlackBerry Limited,2015/11,Android 5.0 Lollipop
BlackBerry DTEK50,BlackBerry Limited,2016/08,Android 6.0 Marshmallow
BlackBerry DTEK60,BlackBerry Limited,2016/10,Android 6.0 Marshmallow
BlackBerry Aurora,BlackBerry Mobile,2017/03,Android 7.0 Nougat
BlackBerry KeyOne,BlackBerry Mobile,2017/04,Android 7.0 Nougat
BlackBerry Motion,BlackBerry Mobile,2017/12,Android 7.0 Nougat
BlackBerry Key2,BlackBerry Mobile,2018/06,Android 8.0 Oreo
BlackBerry Evolve/X,BlackBerry Mobile,2018/08,Android 8.0 Oreo
BlackBerry Key2 LE,BlackBerry Mobile,2018/10,Android 8.0 Oreo
BoringPhone,BoringPhone,2019/01,Android 9.0 Pie
Cherry Mobile Flare S8 Deluxe,Cherry Mobile,2019/07,Android Pie
Cherry Mobile Flare S8 Pro,Cherry Mobile,2019/07,Android Pie
Cherry Mobile Flare S8 Plus,Cherry Mobile,2019/07,Android Pie
Cherry Mobile Flare S8 Lite,Cherry Mobile,2019/07,Android Pie
Dior Phone Touch/Dior Revires,Dior,2011/01,Unknown Android Version
Essential PH-1,Essential Products,2017/08,Android 7.0 Nougat
Eye,ESTI,Unreleased,Android 7.1 Nougat
Fairphone 1,FairPhone,2013/04,Android 4.2 Jelly Bean
Fairphone 2,FairPhone,2015/01,Android 5 Lollipop
Fairphone 3,FairPhone,2019/01,Android 9 Pie
Fairphone 3+,FairPhone,2020/08,Android 10
Fairphone 4,FairPhone,2021/10,Android 11
Freedom Phone,Freedom Phone,2021/07,Android 10
Goophone X,Goophone,2017/09,Android 5.0 Lollipop
Goophone i5C,Goophone,2013/08,Android 4.2 Jelly Bean
Goophone i5S,Goophone,2013/03,Android 4.2 Jelly Bean
Goophone i6,Goophone,2014/07,Unknown Android Version
Goophone i5,Goophone,2012/08,Android 4.0 Ice Cream Sandwich (w/ iOS 6 skin)
Goophone 12 Pro,Goophone,2020/09,Android 10
HTC Dream,HTC,2008/09,Android 1.0
HTC Magic,HTC,2009/05,"Android 1.6 ""Donut"""
HTC Hero,HTC,2009/07,"Android 1.5 ""Cupcake"""
HTC Tattoo,HTC,2009/09,"Android 1.6 ""Donut"""
HTC Desire,HTC,2010/02,"Android 2.0 ""Eclair"""
HTC Legend,HTC,2010/03,Android 2.0 Eclair
HTC Droid Incredible,HTC,2010/04,Android 2.0 Eclair
HTC Wildfire,HTC,2010/05,Android 2.0 Eclair
HTC Aria,HTC,2010/06,Android 2.0 Eclair
HTC Evo 4G,HTC,2010/06,Android 2.0 Eclair
